region_id,lat,lon,city_name
38598,40.700051,-73.677488,"Franklin Square, NY"
42373,34.7925827,-85.9099775,"Fackler, AL"
11738,33.240978,-84.265136,"Griffin, GA"
31506,33.47471,-86.91934,"Fairfield, CT"
39899,42.063601,-87.937498,"Mount Prospect, IL"
13693,33.449613,-117.61144,"San Clemente, CA"
39306,19.71722,-101.02222,"La Puente, CA"
28066,39.933345,-82.008002,"Zanesville, OH"
14959,32.717385,-96.615701,"Balch Springs, TX"
52990,33.7939953,-84.6604899,"Lithia Springs, GA"
51550,35.481705,-80.8590006,"Cornelius, NC"
22402,41.053014,-74.752231,"Newton, NJ"
33369,41.289896,-73.920331,"Peekskill, NY"
829613,40.9168692,-72.6624189,"Riverhead, NY"
5265,32.5839444,-117.1130849,"Imperial Beach, CA"
34545,41.8667645,-72.4495287,"Vernon Rockville, CT"
28063,34.121042,-116.415691,"Yucca Valley, CA"
40514,40.347408,-74.067212,"Red Bank, NJ"
43821,42.4850931,-71.43284,"Acton, MA"
12009,40.12261,-75.0635,"Huntingdon Valley, PA"
44861,41.7508713,-87.9739593,"Darien, IL"
53327,37.598958,-122.400941,"Millbrae, CA"
50054,32.8579056,-97.2547371,"Watauga, TX"
17479,39.928876,-75.295634,"Clifton Heights, PA"
56048,35.3258295,-80.6454979,"Harrisburg, NC"
24869,39.710834,-75.11132,"Glassboro, NJ"
119404,39.58777,-105.06943,"Columbine, CO"
31197,42.165248,-87.851429,"Deerfield, IL"
398283,41.03343,-74.63849,"Sparta Township, NJ"
16927,39.90929,-74.15486,"Bayville, NJ"
36733,39.090549,-76.568734,"Severna Park, MD"
21281,28.041843,-82.502772,"White Lake, MI"
4484,40.8767648,-73.3245614,"East Northport, NY"
22400,51.55761,-0.07426,"Newington, CT"
44707,40.8428759,-73.2928943,"Commack, NY"
46384,40.036202,-75.5138959,"Malvern, PA"
46300,40.5885508,-73.6582631,"Long Beach, NY"
831321,40.2796371,-75.2995777,"Hatfield, PA"
29390,41.00954,-74.17292,"Wyckoff, NJ"
11320,40.534749,-75.497515,"Emmaus, PA"
14613,34.279435,-92.100373,"White Hall, AR"
29455,33.734782,-85.03121,"Temple, GA"
50570,39.3951115,-75.6915973,"Townsend, DE"
19991,28.961939,-98.494328,"Pleasanton, TX"
194103,41.199759,-73.899405,"Croton-on-Hudson, NY"
396094,38.84685,-76.92591,"Suitland-Silver Hill, MD"
37964,33.639297,-84.459095,"College Park, GA"
34876,42.106511,-87.742064,"Winnetka, IL"
22035,41.406931,-80.383811,"Greenville, PA"
11931,39.786268,-75.682244,"Hockessin, DE"
12872,41.13339,-75.899506,"Mountain Top, PA"
27892,41.848323,-87.888992,"Westchester, IL"
52822,35.3068293,-77.7880338,"La Grange, NC"
6263,41.091121,-73.9196794,"Nyack, NY"
26192,33.810366,-78.753217,"North Myrtle Beach, SC"
5513,42.4169651,-88.0739708,"Lake Villa, IL"
398847,42.4185,-71.682086,"Clinton, MA"
5802,42.500096,-70.8578253,"Marblehead, MA"
237051,32.578847,-97.266056,"Rendon, TX"
53646,33.8020715,-117.1460868,"Nuevo, CA"
36409,41.816793,-88.177448,"Warrenville, IL"
24202,40.510487,-75.391335,"Coopersburg, PA"
57024,45.1888596,-93.5524563,"Rogers, MN"
15342,37.228099,-95.707699,"Independence, KS"
397292,41.755202,-70.49784,"Sandwich, MA"
18489,41.016469,-73.807437,"Hartsdale, NY"
54738,38.5451489,-77.3327425,"Triangle, VA"
25688,42.54416,-71.049161,"Lynnfield, MA"
21778,33.829685,-118.07478,"Hawaiian Gardens, CA"
107082,33.119137,-86.442012,"Talladega Springs, AL"
26885,40.825225,-74.10964,"Rutherford, NJ"
31573,35.433483,-82.504217,"Fletcher, NC"
48085,33.5870558,-84.5424299,"Union City, GA"
47328,30.5210332,-93.0476536,"Reeves, LA"
118994,33.922087,-118.234829,"Willowbrook, CA"
22663,25.938279,-80.123957,"Sunny Isles Beach, FL"
45993,37.9856442,-82.9601659,"Keaton, KY"
17755,40.233658,-76.137743,"Denver, PA"
34059,40.74899,-74.26126,"South Orange, NJ"
12410,36.982877,-121.980684,"Live Oak, CA"
22970,48.114935,-96.180302,"Thief River Falls, MN"
35604,36.08708,-79.11335,"Fairview, NC"
112014,33.37145,-111.43691,"Gold Canyon, AZ"
116032,38.569215,-121.349264,"La Riviera, CA"
5097,41.4759224,-75.1821189,"Hawley, PA"
30878,39.793551,-93.553348,"Chillicothe, MO"
18069,39.55779,-77.894818,"Falling Waters, WV"
52994,45.0269101,-93.0877197,"Little Canada, MN"
45697,37.2781992,-76.5038395,"Hayes, VA"
45919,32.7169988,-116.8761347,"Jamul, CA"
41200,35.551475,-120.720369,"Templeton, CA"
26035,36.515665,-76.172226,"Moyock, NC"
23725,38.93913,-76.933166,"Bladensburg, MD"
737788,40.727672,-74.890267,"Lebanon Borough, NJ"
208088,40.00761,-75.23407,"Bala-Cynwyd, PA"
10430,48.987564,-122.742737,"Blaine, WA"
31320,47.92961,-97.013752,"East Grand Forks, MN"
33654,34.82071,-79.5281,"Richmond, MI"
13703,32.982552,-82.812959,"Sandersville, GA"
33727,33.789331,-118.354685,"Rolling Hills Estates, CA"
22944,40.50312,-81.6409582,"Sugarcreek, OH"
24766,40.903264,-73.29828,"Fort Salonga, NY"
16178,41.028475,-73.680021,"Rye Brook, NY"
40717,30.949401,-97.530458,"Salado, TX"
45728,37.8031056,-89.0275744,"Herrin, IL"
32907,34.900727,-114.57468,"Mohave Valley, AZ"
33957,39.908539,-75.268,"Sharon Hill, PA"
28270,29.505911,-94.988207,"Bacliff, TX"
12231,45.865846,-122.66985,"La Center, WA"
6278,41.365333,-81.507896,"Oakwood, OH"
51982,43.6521775,-94.4610832,"Fairmont, MN"
5482,34.2489684,-117.1913321,"Lake Arrowhead, CA"
9058,34.070013,-117.13448,"Mentone, CA"
831331,42.978749,-77.988489,"Le Roy, NY"
43424,40.6220487,-73.7467989,"Inwood, NY"
827220,43.0623754,-77.2347245,"Palmyra, NY"
