,name,state,id,lat,lon
1589,Arnold,MD,8150,39.0320784,-76.5025431
1593,Mechanicsville,MD,5889,38.4429021,-76.7438544
1598,Powell,TN,53986,36.0317472,-84.0279677
1599,Rigby,ID,54144,43.6751937,-111.918002
1600,Olney,MD,6317,39.1532123,-77.0668408
1604,Tavares,FL,47954,28.8041579,-81.725632
1607,Union,KY,54785,38.9458951,-84.680501
1610,Gloucester,VA,56889,37.2540351,-76.496899
1611,Millington,TN,5963,35.3414745,-89.8973084
1615,Orange City,FL,6333,28.9488761,-81.2986741
1644,Key West,FL,52767,24.5625566,-81.7724368
1645,Little River,SC,5657,33.8727006,-78.6232583
1651,Jacksonville,AL,52663,33.8137919,-85.7612872
1667,Gulf Breeze,FL,5013,30.3612885,-87.1683428131
1668,Dade City,FL,44837,28.3647248,-82.1959178
1669,Purcellville,VA,6643,39.1366223,-77.7145945
1672,Pikeville,KY,47095,37.4792672,-82.5187629
1673,Ozark,AL,56159,31.4584764,-85.6405865
1687,Scottsboro,AL,6983,34.6731323,-86.0338765
1690,Newberry,SC,6184,34.2753247,-81.6188633
1694,Rogersville,TN,8983,36.407317,-83.0054423
1701,Ionia,MI,52641,42.9872547,-85.0711174
1708,Hanover,MD,5057,39.1928853,-76.7241371
1710,Farmington,UT,45241,40.9804423,-111.8874688
1720,Gaston,SC,4862,33.8170974,-81.1009286
1722,Pinckney,MI,43724,42.4567013,-83.9463359
1724,Paris,TN,46994,36.3019461,-88.3258578
1725,Southbury,CT,47780,41.4814848,-73.2131693
1727,Clewiston,FL,44645,26.7542312,-80.9336753
1736,Ferndale,MI,57229,42.4605917,-83.1346478
1737,Sandpoint,ID,6929,48.2765903,-116.553247
1741,Farmville,VA,45245,37.3024713,-78.3923813
1745,Brigham City,UT,51137,41.5110434,-112.0154991
1751,Burley,ID,55587,42.5357428,-113.792794
1756,Union,SC,48084,34.7157074,-80.6211783
1760,Franklin,KY,52108,36.722263,-86.5772177
1762,Rathdrum,ID,42632,47.8111504,-116.896931
1769,Shepherdsville,KY,47667,37.9885936,-85.7158246
1771,Makawao,HI,49481,20.8539162,-156.3103925
1783,Pelham,AL,42732,32.2795864,-88.120021
1785,Guntersville,AL,57253,34.3581474,-86.2947041
1807,Wayne,MI,7798,42.2814269,-83.3863215
1809,Hernando,FL,43695,28.8999815,-82.3745401
1811,Lexington,TN,49697,35.650903,-88.3933796
1814,Lafollette,TN,42338,36.3828571,-84.1199251
1815,Crystal River,FL,4273,28.902479,-82.5926012
1819,Sault Sainte Marie,MI,47581,46.48574,-84.365214
1825,Gibsonton,FL,52206,27.8536365,-82.3825931
1838,Galax,VA,8428,36.6612387,-80.9239671
1840,Taylorsville,KY,43132,38.0317303,-85.3425348
1849,Monticello,KY,46590,36.8297937,-84.8491126
1851,Columbia,KY,55622,37.102841,-85.3063504
1862,Duncan,SC,44995,34.9378962,-82.1451096
1863,Scottsville,KY,56651,36.7533781,-86.1905424
1873,Joppa,MD,52707,39.433718999999996,-76.3577373
1875,Centerville,UT,43785,40.9180005,-111.8721601
1877,Wolcott,CT,7985,41.6023196,-72.9867718
1881,Fort Thomas,KY,52081,39.0786242,-84.4483432
1884,Gladwin,MI,42264,43.980855,-84.486401
1886,Tazewell,TN,43133,36.45425,-83.569352
1888,Winchester,TN,49909,35.1859901,-86.1118359
1890,Sweetwater,TN,54644,35.4972962,-87.6319654
1894,Humboldt,TN,45843,35.8197917,-88.9158953
1899,Plaquemine,LA,53917,30.2840655,-91.2370772
1911,Fowlerville,MI,52096,42.6605894,-84.0730142
1917,Dexter,MI,51713,42.3372998,-83.8842
1928,Gambrills,MD,55732,39.0948378,-76.6488265
1939,Liberty,SC,5625,34.7869865,-82.6936822
1943,Spanish Fort,AL,50142,30.6754503,-87.9040269
1950,Louisa,VA,42930,38.0250438,-78.0035745
1952,Millbrook,AL,53328,32.4798575,-86.3619163
1954,Whitefish,MT,55184,48.4108018,-114.334624
1961,Paw Paw,MI,47030,42.2178171,-85.8911246
1970,Luling,LA,46342,29.9321498,-90.3664695
1975,Cutlerville,MI,4287,42.8408622,-85.663638
1978,Lady Lake,FL,5474,28.9174855,-81.9228604
1981,Key Biscayne,FL,5415,25.6968351,-80.1635261
1984,Arlington,TN,50762,35.2964487,-89.6617313
1985,Dillon,SC,4370,34.4165391,-79.3713948
1987,Brandywine,MD,57127,38.6967833,-76.8477485
1988,Covington,VA,51570,37.7934528,-79.9939484
1998,Marion,SC,46416,34.178216,-79.4006069
2002,Robertsdale,AL,6798,30.5552959,-87.7109526
2005,Grantsville,UT,45529,40.6000817,-112.463531
2009,Harrison,TN,8763,35.1136838,-85.1380092
2011,Stanford,KY,42964,37.5311646,-84.6618876
2021,Middleton,ID,50539,43.7068282,-116.620135
2023,Lakeland,TN,46130,35.2306032,-89.7404032
2038,Luray,VA,5729,38.6654653,-78.4600202
2044,Fort Gratiot,MI,52064,43.0414386,-82.4805060925
2051,Pulaski,VA,6639,37.0478983,-80.7797935
2056,South Daytona,FL,47757,29.1658158,-81.0044995
2059,California,MD,9827,38.3004029,-76.5074542
2071,Hueytown,AL,52592,33.458103,-86.9523327608
2073,Cheboygan,MI,51368,45.646956,-84.47448
2077,Livingston,MT,5665,45.662436,-110.56104
2079,South Boston,VA,47753,36.6987494,-78.9013987
2083,Woodhaven,MI,57320,42.1370519,-83.2451066
2087,Amite,LA,8078,30.7265747,-90.5089815
2094,Kershaw,SC,52761,34.5517286,-80.5832479
2100,Wauchula,FL,56789,27.5472589,-81.8114715
2102,Boyds,MD,44278,39.1840886,-77.3122325
